city,lat,lon,category,name,source
Cotonou,6.364283,2.4245608,school,Institut universitaire les cours sonou,OSM
Cotonou,6.3542179,2.396815,school,"Institut Régional du Génie Industriel, des Biotechnologies et Sciences Appliquées",OSM
Cotonou,6.3572955,2.3982353,school,Université Catholique de l'Afrique de l'Ouest,OSM
Cotonou,6.3559433,2.4028928,hotel,hôtel de l'Entente,OSM
Cotonou,6.3739488,2.424243,pharmacy,Espace beauté,OSM
Cotonou,6.362256,2.4370297,pharmacy,Pharmacie Principale,OSM
Cotonou,6.362595,2.4296009,restaurant,Maquis chez maman Pacôme,OSM
Cotonou,6.3739044,2.4248098,pharmacy,Le Nokoué,OSM
Cotonou,6.3642779,2.4088826,atm,United Bank for Africa,OSM
Cotonou,6.3640079,2.4093206,school,Collège Châteaubriand,OSM
Cotonou,6.3527017,2.4377406,restaurant,Chez GUIGOZ,OSM
Cotonou,6.3561275,2.4399689,restaurant,Fast food CURTIS,OSM
Cotonou,6.3512366,2.4319818,restaurant,Gran Canaria,OSM
Cotonou,6.354644,2.4368749,restaurant,La Costa,OSM
Cotonou,6.3514355,2.4335155,restaurant,Laurencia,OSM
Cotonou,6.3568032,2.441145,hotel,Le Berlin,OSM
Cotonou,6.3569831,2.441137,restaurant,Le Berlin,OSM
Cotonou,6.3549878,2.4387338,restaurant,Le Centre,OSM
Cotonou,6.3566066,2.4393238,restaurant,Le Privé,OSM
Cotonou,6.3537736,2.4355942,restaurant,Le Terroir,OSM
Cotonou,6.3539282,2.4394083,restaurant,Les 3 Mousquetaires,OSM
Cotonou,6.3524474,2.4370896,restaurant,Maman Poste,OSM
Cotonou,6.3533215,2.4380716,restaurant,Maquis Aux Parfums des Epices,OSM
Cotonou,6.3557515,2.4398134,restaurant,Maquis Chez AMY,OSM
Cotonou,6.3518393,2.4375667,restaurant,Maquis Chiken House,OSM
Cotonou,6.3539016,2.4388397,restaurant,Maquis Marie,OSM
Cotonou,6.3514888,2.4334502,restaurant,Maquis du Port,OSM
Cotonou,6.3575762,2.4398871,restaurant,Mc Bouffe,OSM
Cotonou,6.3545243,2.4360897,restaurant,O’Grill,OSM
Cotonou,6.3559889,2.4372411,restaurant,Pizzeria Pizza&Pasta,OSM
Cotonou,6.3544561,2.4366268,restaurant,louange Bar Le Mijoto,OSM
Cotonou,6.3528482,2.4375379,restaurant,maquis Baha Cabana,OSM
Cotonou,6.3514831,2.4333226,restaurant,Alegria,OSM
Cotonou,6.3514564,2.4331174,restaurant,Chez Diallo,OSM
Cotonou,6.351411,2.4329955,restaurant,Chez Guigoz,OSM
Cotonou,6.3524121,2.4344344,restaurant,Restaurant,OSM
Cotonou,6.3526161,2.4350983,restaurant,Restaurant,OSM
Cotonou,6.3533193,2.3999092,atm,Ecobank,OSM
Cotonou,6.3833097,2.4251266,pharmacy,Pharmacie Aïdjèdo,OSM
Cotonou,6.369767,2.4121136,pharmacy,Pharmacie de l’étoille,OSM
Cotonou,6.3569827,2.365107,pharmacy,Pharmacie Oceane,OSM
Cotonou,6.3612094,2.3793566,restaurant,Restau Fidjrosse,OSM
Cotonou,6.3608011,2.4373679,hotel,Riveira Benin,OSM
Cotonou,6.3596681,2.4374349,hotel,Mobydick,OSM
Cotonou,6.3594016,2.4370607,hotel,Hotel Grillon,OSM
Cotonou,6.359207,2.4368006,restaurant,Zatawi,OSM
Cotonou,6.3583979,2.4371124,restaurant,Bon Appetit,OSM
Cotonou,6.3596335,2.4383422,hotel,Le Prince,OSM
Cotonou,6.3597115,2.4384454,restaurant,Caramel,OSM
Cotonou,6.3620333,2.4349601,hotel,Residence Ilewa,OSM
Cotonou,6.3609816,2.435007,hotel,Vertigo,OSM
Cotonou,6.3643522,2.4323023,restaurant,Bombay Tandoor,OSM
Cotonou,6.3638924,2.4326939,hotel,Magic Life,OSM
Cotonou,6.358593,2.4364315,pharmacy,Pharmacie Vogue,OSM
Cotonou,6.366712,2.429727,restaurant,Haikuo tiankong,OSM
Cotonou,6.3646068,2.4297807,restaurant,Maquis Dose dit Diallo,OSM
Cotonou,6.3644429,2.4299094,driving_school,Moderne,OSM
Cotonou,6.3639977,2.4298249,restaurant,Maquis Chez Angele,OSM
Cotonou,6.3641976,2.4300865,restaurant,Maquis Bar Chez tata vivi,OSM
Cotonou,6.3644009,2.4315838,restaurant,Maquis Bar Djembè,OSM
Cotonou,6.3632933,2.4311654,restaurant,Chez Papou,OSM
Cotonou,6.3638645,2.4322651,driving_school,Benin Conduite,OSM
Cotonou,6.3625196,2.4320217,hotel,Sénator,OSM
Cotonou,6.3628342,2.4311895,school,school_unnamed,OSM
Cotonou,6.3599259,2.433004,restaurant,Belle Grillades,OSM
